Sample,B,CD4T,CD8T,NK,Myeloid
s_1,0.0094,0.5129,0.1031,0.1243,0.2503
s_2,0.0354,0.387,0.1301,0.2338,0.2137
s_3,0.0269,0.4225,0.1621,0.1906,0.1979
s_4,0.0221,0.4686,0.2286,0.0967,0.184
s_5,6e-4,0.4587,0.1907,0.1538,0.1962
s_6,0.0156,0.4701,0.2293,0.1432,0.1418
s_7,0.0285,0.3656,0.2132,0.1326,0.2601
s_8,0.0042,0.5331,0.1714,0.1388,0.1525
s_9,0.0238,0.5846,0.1817,0.0777,0.1322
s_10,0.0236,0.4616,0.1705,0.2535,0.0908
s_11,0.022,0.4031,0.1757,0.1503,0.2489
s_12,0.0131,0.4192,0.1913,0.1894,0.187
s_13,0.0034,0.4249,0.2388,0.1716,0.1613
s_14,0.007,0.4461,0.2685,0.1436,0.1348
s_15,0.0246,0.4018,0.2266,0.1005,0.2465
s_16,0.0096,0.4901,0.1581,0.1138,0.2284
s_17,0.0193,0.5238,0.1622,0.1188,0.1759
s_18,0.0344,0.4537,0.1861,0.1677,0.1581
s_19,0.0306,0.4539,0.2073,0.0952,0.213
s_20,0.0339,0.4015,0.192,0.1346,0.238
s_21,0.0362,0.398,0.2278,0.0907,0.2473
s_22,0.0414,0.499,0.1802,0.0898,0.1896
s_23,0.0014,0.4926,0.1983,0.1642,0.1435
s_24,0.0162,0.329,0.1447,0.181,0.3291
s_25,0.0034,0.3425,0.3181,0.1146,0.2214
s_26,0.0364,0.4525,0.1826,0.2097,0.1188
s_27,0.0303,0.4947,0.234,0.1193,0.1217
s_28,0.0795,0.348,0.3205,0.0781,0.1739
s_29,0.0156,0.4811,0.2461,0.0585,0.1987
s_30,0.0163,0.4757,0.1631,0.155,0.1899
s_31,0.0534,0.3659,0.3365,0.1523,0.0919
s_32,0.0021,0.5683,0.2544,0.0979,0.0773
s_33,0.0105,0.4045,0.3013,0.116,0.1677
s_34,0.0099,0.3338,0.2411,0.1165,0.2987
s_35,0.0282,0.4738,0.1863,0.0912,0.2205
s_36,0.0156,0.477,0.1928,0.1946,0.12
s_37,0.0189,0.4017,0.1795,0.1883,0.2116
s_38,0.0188,0.4059,0.2954,0.1703,0.1096
s_39,0.025,0.4762,0.1962,0.0892,0.2134
s_40,0.0604,0.5274,0.1762,0.1012,0.1348
s_41,0.0354,0.3454,0.178,0.1724,0.2688
s_42,0.0597,0.4068,0.2384,0.173,0.1221
s_43,0.0454,0.5265,0.1318,0.1189,0.1774
s_44,0.0241,0.5433,0.2357,0.0654,0.1315
s_45,0.013,0.49,0.2631,0.1042,0.1297
s_46,0.0172,0.484,0.2556,0.0898,0.1534
s_47,0.0288,0.4858,0.1004,0.1767,0.2083
s_48,4e-4,0.544,0.1171,0.198,0.1405
s_49,0.0171,0.3572,0.2606,0.1362,0.2289
s_50,0.0023,0.345,0.273,0.1353,0.2444
s_51,0.1124,0.4156,0.1587,0.1261,0.1872
s_52,0.0332,0.5247,0.1617,0.1178,0.1626
s_53,0.0162,0.337,0.2839,0.1401,0.2228
s_54,0.0234,0.3533,0.3477,0.1328,0.1428
s_55,0.0412,0.4702,0.1752,0.1919,0.1215
s_56,0.016,0.4754,0.2441,0.0881,0.1764
s_57,0.0015,0.4839,0.1733,0.153,0.1883
s_58,0.0041,0.4542,0.2552,0.1681,0.1184
s_59,0.0305,0.4256,0.2608,0.1384,0.1447
s_60,0.0278,0.5522,0.1688,0.1237,0.1275
s_61,0.0805,0.4699,0.1235,0.2128,0.1133
s_62,0.0233,0.4622,0.2131,0.1557,0.1457
s_63,0.0307,0.4594,0.2209,0.1238,0.1652
s_64,0.0024,0.4631,0.2134,0.1999,0.1212
s_65,0.0387,0.5697,0.2265,0.0759,0.0892
s_66,0.029,0.3874,0.2377,0.0937,0.2522
s_67,0.0526,0.4154,0.1939,0.1617,0.1764
s_68,0.0352,0.332,0.3029,0.1201,0.2098
s_69,0.091,0.4771,0.171,0.1362,0.1247
s_70,0.0151,0.3335,0.2268,0.1581,0.2665
s_71,0.0203,0.4625,0.2365,0.1631,0.1176
s_72,0.0576,0.441,0.2239,0.1534,0.1241
s_73,0.0598,0.5606,0.1562,0.1403,0.0831
s_74,0.0281,0.3922,0.2245,0.1802,0.175
s_75,0.0113,0.5391,0.1687,0.0974,0.1835
s_76,0.0137,0.5119,0.2272,0.1048,0.1424
s_77,0.0131,0.4562,0.161,0.1012,0.2685
s_78,0.0531,0.5049,0.1806,0.1177,0.1437
s_79,0.0088,0.4867,0.2472,0.0695,0.1878
s_80,0.0283,0.3863,0.1694,0.1406,0.2754
s_81,0.0278,0.5119,0.1822,0.1143,0.1638
s_82,0.0068,0.3726,0.2368,0.1488,0.235
s_83,0.024,0.5204,0.1773,0.1874,0.0909
s_84,0.0155,0.4029,0.2258,0.2119,0.1439
s_85,0.0237,0.4788,0.1916,0.1812,0.1247
s_86,0.015,0.3661,0.189,0.2223,0.2076
s_87,0.0225,0.4091,0.2319,0.0802,0.2563
s_88,0.0429,0.3988,0.3471,0.0755,0.1357
s_89,0.0168,0.4394,0.2211,0.1864,0.1363
s_90,0.0556,0.3158,0.3065,0.2376,0.0845
s_91,0.0756,0.3817,0.2381,0.1664,0.1382
s_92,0.0307,0.3009,0.1916,0.2093,0.2675
s_93,0.1037,0.4209,0.1481,0.1575,0.1698
s_94,0.0103,0.4276,0.224,0.1976,0.1405
s_95,0.0532,0.3305,0.3291,0.1625,0.1247
s_96,0.0068,0.3788,0.2624,0.1364,0.21560000000000001
s_97,0.0479,0.5416,0.1726,0.1243,0.1136
s_98,0.0162,0.4846,0.2043,0.1183,0.1766
s_99,0.0114,0.5095,0.2064,0.0979,0.1748
s_100,0.0507,0.4284,0.2535,0.0988,0.1686
